15 16
2	5	1	-6	-4	3	1	5	7	-13	1	9	8	7	3	12
1	3	1	1	5	6	7.4	8	-7	2	3	4	12	7	9	-2
3	-2	1	1	-2	1	1	3	1	5	5	7	2	2	1	1
2	3	1	5	-3	1	11	3	12	4	5	-5	1	3	2	4
-6	6	2	6	-4	1	4	3	4	3	5	6	6	1	3	2
2	7	3	0	-2	1	3	7	-3	3	6	3	4	-2	6	-3
3	12	1	1	-3	1	13	0	1	3	-1	2	1	-2	7	-2
15	3	2.6	2	1	1	2	-6	4	1	-4	1	2	-4	4	-6
3	2	2	3	3	1	-7	-2	5	3	-2	-4	3	-5	2	1
4	1	3	1	1	0	2	-1	6	-4	-2	-1	-1	7	1	12
2.6	1	1	2	-6	0	6	-1	-2	-1	3	2	2	8	3	4
1	2	4	-2	-4	-4	-6	2	-1	2	4	3	-3	4	7	51
3	-2	6	3	-2	3	3	3	-3	3	1	2	2	9	-2	2
7	-1	5	1	-4	2	2	4	6	-3	2	1	1	3	-1	3
9	3	7	3	3	4	7	5	5	-5	7	1	5	1	3	9
